# per-game-day forecast per host city (Open-Meteo)
Auckland|2026-08-07: Fri 7 Aug: 11°C, 0% rain chance, overcast
Auckland: Fri 7 Aug: 11°C, 0% rain chance, overcast
Brisbane|2026-08-08: Sat 8 Aug: 21°C, 24% rain chance, clear
Brisbane: Sat 8 Aug: 21°C, 24% rain chance, clear
Canberra|2026-08-09: Sun 9 Aug: 11°C, 89% rain chance, showers
Canberra: Sun 9 Aug: 11°C, 89% rain chance, showers
Gold Coast|2026-08-06: Thu 6 Aug: 20°C, 6% rain chance, overcast
Gold Coast: Thu 6 Aug: 20°C, 6% rain chance, overcast
Melbourne: Tue 4 Aug: 13°C, 100% rain chance, thunderstorms
Sydney|2026-08-07: Fri 7 Aug: 16°C, 0% rain chance, clear
Sydney|2026-08-08: Sat 8 Aug: 17°C, 4% rain chance, overcast
Sydney: Fri 7 Aug: 16°C, 0% rain chance, clear
Wollongong: Sun 9 Aug: 15°C, 47% rain chance, heavy drizzle
